dataset,train_accuracy,test_accuracy,gap
FD001,0.992729387814454,0.9875534514355528,0.005175936378901125
FD002,0.9916293085808888,0.983554470300962,0.008074838279926833
FD003,0.9950242718446602,0.992709086526874,0.0023151853177862947
FD004,0.9933713203480873,0.988062308924152,0.00530901142393525
ALL_FD,0.9955287822947262,0.9878261532741642,0.007702629020561957
